"target" "subjectID" "experimentID" "rotation" "handedness" "trialID" "RT_LD" "Response_LD" "lexicality_LD" "orderIDLD" "accLD" "rtPrecLD" "accPrecLD" "lexicality" "base" "freqbase" "lengthtarget" "condition" "Old20base" "Old20target" "freqcluster" "cluster" "explInterp"
"alberoso" "AA18" "LDF" "6" "D" "1392" 1158 "nonword" "nonword" 89 1 1186 0 "nonword" "albero" 3.713 8 "pseudoword" 1 2.3 4.911 "oso" 1.51880471283479
"alberoso" "GF54" "LDF" "6" "D" "1392" 806 "word" "nonword" 49 0 765 1 "nonword" "albero" 3.713 8 "pseudoword" 1 2.3 4.911 "oso" 1.51880471283479
"alberoso" "GS36" "LDF" "6" "D" "1392" 792 "word" "nonword" 49 0 516 1 "nonword" "albero" 3.713 8 "pseudoword" 1 2.3 4.911 "oso" 1.51880471283479
"alcolico" "MV48" "LDF" "6" "D" "2419" 647 "word" "word" 95 1 685 1 "word" "alcol" 3.323 8 "derived" 1.2 1.8 5.451 "ico" NA
"alcolico" "SP12" "LDF" "6" "S" "2419" 766 "word" "word" 93 1 990 1 "word" "alcol" 3.323 8 "derived" 1.2 1.8 5.451 "ico" NA
"alcolico" "GS36" "LDF" "6" "D" "2419" 768 "word" "word" 86 1 805 0 "word" "alcol" 3.323 8 "derived" 1.2 1.8 5.451 "ico" NA
"alcolico" "ZF42" "LDF" "6" "D" "2419" 631 "word" "word" 86 1 571 1 "word" "alcol" 3.323 8 "derived" 1.2 1.8 5.451 "ico" NA
"alcolico" "GF54" "LDF" "6" "D" "2419" 460 "word" "word" 86 1 608 1 "word" "alcol" 3.323 8 "derived" 1.2 1.8 5.451 "ico" NA
"alcolico" "GDL30" "LDF" "6" "D" "2419" 940 "word" "word" 95 1 728 1 "word" "alcol" 3.323 8 "derived" 1.2 1.8 5.451 "ico" NA
"alcolico" "AA18" "LDF" "6" "D" "2419" 607 "word" "word" 95 1 802 1 "word" "alcol" 3.323 8 "derived" 1.2 1.8 5.451 "ico" NA
"alcolico" "RE24" "LDF" "6" "S" "2419" 806 "word" "word" 28 1 818 0 "word" "alcol" 3.323 8 "derived" 1.2 1.8 5.451 "ico" NA
"alcolico" "CC6" "LDF" "6" "D" "2419" 615 "word" "word" 73 1 611 1 "word" "alcol" 3.323 8 "derived" 1.2 1.8 5.451 "ico" NA
"alloggimente" "MC3" "LDF" "3" "D" "1174" 1343 "nonword" "nonword" 45 1 955 1 "nonword" "alloggio" 2.894 12 "pseudoword" 1.95 3.5 5.521 "mente" -0.895320400148354
"alloggimente" "EV51" "LDF" "3" "D" "1174" 1074 "nonword" "nonword" 45 1 687 1 "nonword" "alloggio" 2.894 12 "pseudoword" 1.95 3.5 5.521 "mente" -0.895320400148354
"alloggimente" "FC39" "LDF" "3" "D" "1174" 1133 "nonword" "nonword" 84 1 747 1 "nonword" "alloggio" 2.894 12 "pseudoword" 1.95 3.5 5.521 "mente" -0.895320400148354
"alloggimente" "CS33" "LDF" "3" "D" "1174" 848 "nonword" "nonword" 69 1 567 1 "nonword" "alloggio" 2.894 12 "pseudoword" 1.95 3.5 5.521 "mente" -0.895320400148354
"alloggimente" "AB9" "LDF" "3" "D" "1174" 894 "nonword" "nonword" 64 1 632 1 "nonword" "alloggio" 2.894 12 "pseudoword" 1.95 3.5 5.521 "mente" -0.895320400148354
"alloggimente" "GG27" "LDF" "3" "D" "1174" 1963 "nonword" "nonword" 69 1 531 1 "nonword" "alloggio" 2.894 12 "pseudoword" 1.95 3.5 5.521 "mente" -0.895320400148354
"alloggimente" "LM21" "LDF" "3" "D" "1174" 1323 "nonword" "nonword" 69 1 525 1 "nonword" "alloggio" 2.894 12 "pseudoword" 1.95 3.5 5.521 "mente" -0.895320400148354
"alloggimente" "MP15" "LDF" "3" "D" "1174" 771 "nonword" "nonword" 20 1 891 1 "nonword" "alloggio" 2.894 12 "pseudoword" 1.95 3.5 5.521 "mente" -0.895320400148354
"alloggimente" "AV45" "LDF" "3" "D" "1174" 1169 "nonword" "nonword" 34 1 682 1 "nonword" "alloggio" 2.894 12 "pseudoword" 1.95 3.5 5.521 "mente" -0.895320400148354
"amicizia" "CS33" "LDF" "3" "D" "2183" 580 "word" "word" 85 1 582 0 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "LM21" "LDF" "3" "D" "2183" 531 "word" "word" 85 1 641 0 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "EV51" "LDF" "3" "D" "2183" 852 "word" "word" 24 1 798 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "AB9" "LDF" "3" "D" "2183" 497 "word" "word" 91 1 677 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "MN5" "LDF" "5" "S" "2364" 525 "word" "word" 66 1 565 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "RS56" "LDF" "5" "D" "2364" 465 "word" "word" 66 1 606 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "MC3" "LDF" "3" "D" "2183" 543 "word" "word" 24 1 953 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "MT11" "LDF" "5" "S" "2364" 677 "word" "word" 53 1 696 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "SP17" "LDF" "5" "D" "2364" 794 "word" "word" 53 1 932 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "MP15" "LDF" "3" "D" "2183" 557 "word" "word" 87 1 834 0 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "GL47" "LDF" "5" "S" "2364" 446 "word" "word" 66 1 478 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "FC39" "LDF" "3" "D" "2183" 514 "word" "word" 75 1 755 0 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "AB53" "LDF" "5" "D" "2364" 594 "word" "word" 95 1 766 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "GG27" "LDF" "3" "D" "2183" 606 "word" "word" 85 1 1318 0 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "AV45" "LDF" "3" "D" "2183" 664 "word" "word" 49 1 936 0 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "SB35" "LDF" "5" "D" "2364" 1369 "word" "word" 35 1 864 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "AC29" "LDF" "5" "D" "2364" 826 "word" "word" 87 1 1482 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "SE23" "LDF" "5" "D" "2364" 618 "word" "word" 54 1 963 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amicizia" "SS41" "LDF" "5" "D" "2364" 412 "word" "word" 73 1 565 1 "word" "amico" 4.912 8 "derived" 1 1.35 4.763 "izia" NA
"amuletorio" "FLB20" "LDF" "2" "D" "1088" 687 "nonword" "nonword" 23 1 516 0 "nonword" "amuleto" 2.428 10 "pseudoword" 1.95 3 4.19 "orio" 0.13903004634516
"amuletorio" "AF8" "LDF" "2" "D" "1088" 707 "nonword" "nonword" 25 1 489 1 "nonword" "amuleto" 2.428 10 "pseudoword" 1.95 3 4.19 "orio" 0.13903004634516
"amuletorio" "AR50" "LDF" "2" "D" "1088" 707 "nonword" "nonword" 23 1 609 0 "nonword" "amuleto" 2.428 10 "pseudoword" 1.95 3 4.19 "orio" 0.13903004634516
"amuletorio" "IF14" "LDF" "2" "D" "1088" 950 "word" "nonword" 89 0 963 0 "nonword" "amuleto" 2.428 10 "pseudoword" 1.95 3 4.19 "orio" 0.13903004634516
"amuletorio" "SDC32" "LDF" "2" "D" "1088" 1100 "nonword" "nonword" 58 1 966 1 "nonword" "amuleto" 2.428 10 "pseudoword" 1.95 3 4.19 "orio" 0.13903004634516
"amuletorio" "MC26" "LDF" "2" "D" "1088" 473 "word" "nonword" 75 0 658 1 "nonword" "amuleto" 2.428 10 "pseudoword" 1.95 3 4.19 "orio" 0.13903004634516
"amuletorio" "LC44" "LDF" "2" "D" "1088" 712 "nonword" "nonword" 53 1 619 1 "nonword" "amuleto" 2.428 10 "pseudoword" 1.95 3 4.19 "orio" 0.13903004634516
"amuletorio" "DC2" "LDF" "2" "D" "1088" 772 "nonword" "nonword" 57 1 798 0 "nonword" "amuleto" 2.428 10 "pseudoword" 1.95 3 4.19 "orio" 0.13903004634516
