"trial_ID" "prime" "target_lexicality" "target" "experimentID" "subjectID" "rotation" "handedness" "RT" "response" "orderID" "acc" "rtPrec" "accPrec" "relatedness" "stem" "cluster" "unrelated" "condition" "prime_lexicality" "microblock" "lengthprime" "lengthtarget" "old20target" "old20prime" "freqtarget" "freqprime" "freqcluster"
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "FC19" "1" "D" 529 "word" 222 0 462 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "GS36" "2" "D" 1232 "nonword" 215 1 692 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "LA13" "1" "S" 635 "word" 259 0 953 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "NJ39" "1" "D" 683 "nonword" 184 1 686 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "VB30" "2" "D" 691 "nonword" 153 1 644 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "FT31" "1" "D" 621 "nonword" 280 1 664 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "GP45" "1" "D" 1455 "nonword" 246 1 653 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "SB4" "2" "D" 987 "nonword" 76 1 589 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "FB14" "2" "D" 692 "nonword" 250 1 494 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "GZ35" "1" "D" 927 "nonword" 167 1 542 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "ADC8" "2" "D" 639 "nonword" 176 1 475 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "EA1" "1" "D" 0 "NoResponse" 284 0 977 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "MB23" "1" "D" 597 "nonword" 145 1 449 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "ATA27" "1" "D" 585 "nonword" 287 1 538 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "IM16" "2" "D" 845 "nonword" 292 1 433 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "SS7" "1" "D" 766 "nonword" 95 1 665 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "AM9" "1" "D" 727 "nonword" 308 1 680 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "DV40" "2" "D" 976 "nonword" 167 1 680 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "BA22" "2" "S" 1069 "nonword" 141 1 667 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "FM12" "2" "D" 968 "nonword" 191 1 627 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "AG32" "2" "D" 0 "NoResponse" 220 0 705 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "AC26" "2" "D" 747 "nonword" 318 1 835 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "EF2" "2" "D" 662 "nonword" 224 1 457 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "DR33" "1" "S" 766 "nonword" 162 1 520 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "GI37" "1" "D" 749 "nonword" 304 1 720 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "AG38" "2" "D" 820 "nonword" 102 1 665 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "TF29" "1" "D" 644 "nonword" 121 1 437 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "CM41" "1" "D" 726 "nonword" 173 1 736 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "VP3" "1" "S" 686 "nonword" 15 1 513 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "EF44" "2" "D" 588 "nonword" 316 1 484 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "GM10" "2" "D" 811 "nonword" 333 1 613 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "KN25" "1" "D" 745 "nonword" 268 1 887 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "LS11" "1" "D" 708 "nonword" 137 1 555 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "FC4" "2" "D" 867 "nonword" 76 1 742 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "EC43" "1" "D" 493 "word" 132 0 518 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "RZ20" "2" "D" 950 "word" 202 0 724 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "SC15" "1" "D" 871 "nonword" 116 1 758 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "AD42" "2" "D" 647 "nonword" 67 1 441 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "ET21" "1" "D" 623 "nonword" 159 1 528 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "EDP28" "2" "D" 644 "nonword" 22 1 489 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "FC5" "1" "D" 887 "nonword" 322 1 586 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "MZ17" "1" "D" 614 "nonword" 297 1 652 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "GS24" "2" "D" 659 "word" 36 0 478 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100147" "fidantatoco" "nonword" "tertimone" "SL1_2" "LD18" "2" "D" 592 "word" 275 0 593 "1" "unrelated" "fidantat" "oco" "fidantato" "HF" "nonword" 13 11 9 2.2 3.6 0 0 4.77659223358054
"100183" "furogno" "nonword" "eloe" "SL1_2" "TF29" "1" "D" 657 "nonword" 248 1 677 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "SB4" "2" "D" 1240 "nonword" 35 1 683 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "MB23" "1" "D" 833 "nonword" 164 1 474 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "SS7" "1" "D" 537 "nonword" 298 1 640 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "EF44" "2" "D" 602 "nonword" 201 1 476 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "GS36" "2" "D" 633 "nonword" 108 1 865 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
"100183" "furogno" "nonword" "eloe" "SL1_2" "DV40" "2" "D" 902 "nonword" 121 1 814 "1" "unrelated" "fur" "ogno" "furo" "HF" "nonword" 10 7 4 1.15 2.15 1.07918124604762 0 4.97151705645433
