"prime" "trialID" "lexicality" "target" "cluster" "freqtarget" "stemunrelated" "unrelatedfreq" "lengthtarget" "lengthprime" "relatedness" "condition" "old20target" "old20prime" "stem" "freqcluster" "subjectID" "experimentID" "rotation" "handedness" "RT" "response" "orderID" "acc" "rtPrec" "accPrec" "morphInterference" "explInterp"
"acetiaba" 13053 "word" "aceto" "iaba" 2.446 "globo" 2.442 5 8 "related" "LF_orthog" 1.1 3 "acet" 2.161 "AC43" "MPF" 1 "D" 594 "word" 21 1 845 "1" NA NA
"acetiaba" 13053 "word" "aceto" "iaba" 2.446 "globo" 2.442 5 8 "related" "LF_orthog" 1.1 3 "acet" 2.161 "DS31" "MPF" 1 "D" 545 "word" 140 1 759 "1" NA NA
"acetiaba" 13053 "word" "aceto" "iaba" 2.446 "globo" 2.442 5 8 "related" "LF_orthog" 1.1 3 "acet" 2.161 "MVT19" "MPF" 1 "D" 683 "word" 140 1 781 "1" NA NA
"acetonna" 12053 "word" "aceto" "onna" 2.446 "globo" 2.442 5 8 "related" "HF_orthog" 1.1 2.9 "acet" 4.759 "MV48" "MPF" 6 "D" 528 "word" 55 1 555 "1" NA NA
"acetonna" 12053 "word" "aceto" "onna" 2.446 "globo" 2.442 5 8 "related" "HF_orthog" 1.1 2.9 "acet" 4.759 "GDL30" "MPF" 6 "D" 664 "word" 93 1 937 "1" NA NA
"acetonna" 12053 "word" "aceto" "onna" 2.446 "globo" 2.442 5 8 "related" "HF_orthog" 1.1 2.9 "acet" 4.759 "GF54" "MPF" 6 "D" 488 "word" 60 1 519 "1" NA NA
"acetonna" 12053 "word" "aceto" "onna" 2.446 "globo" 2.442 5 8 "related" "HF_orthog" 1.1 2.9 "acet" 4.759 "RE24" "MPF" 6 "S" 602 "word" 151 1 581 "1" NA NA
"acetonna" 12053 "word" "aceto" "onna" 2.446 "globo" 2.442 5 8 "related" "HF_orthog" 1.1 2.9 "acet" 4.759 "GS36" "MPF" 6 "D" 578 "word" 47 1 901 "1" NA NA
"acetonna" 12053 "word" "aceto" "onna" 2.446 "globo" 2.442 5 8 "related" "HF_orthog" 1.1 2.9 "acet" 4.759 "AA18" "MPF" 6 "D" 522 "word" 140 1 591 "1" NA NA
"acetonna" 12053 "word" "aceto" "onna" 2.446 "globo" 2.442 5 8 "related" "HF_orthog" 1.1 2.9 "acet" 4.759 "ZF42" "MPF" 6 "D" 564 "word" 55 1 823 "1" NA NA
"acetonna" 12053 "word" "aceto" "onna" 2.446 "globo" 2.442 5 8 "related" "HF_orthog" 1.1 2.9 "acet" 4.759 "CC6" "MPF" 6 "D" 580 "word" 170 1 516 "1" NA NA
"acetonna" 12053 "word" "aceto" "onna" 2.446 "globo" 2.442 5 8 "related" "HF_orthog" 1.1 2.9 "acet" 4.759 "SP12" "MPF" 6 "S" 559 "word" 34 1 647 "1" NA NA
"albereffo" 13012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "related" "LF_orthog" 1 2.8 "alber" 1.88 "IF14" "MPF" 2 "D" 655 "word" 151 1 557 "1" NA NA
